time_s,sample_index,timestamp_us,ecg_raw,leads_off,adc_ok,ecg_morph,ecg_qrs,r_peak
0.0,966,2456968,2019,0,1,-9.090746945822222,-13.597193869822693,0
0.002,967,2458968,2031,0,1,-6.262501536833714,-17.479875699797166,0
0.004,968,2460968,2054,0,1,-5.322464017163835,-21.7281110240926,0
0.006,969,2462968,2043,0,1,-7.366304934219721,-26.26140773731727,0
0.008,970,2464968,2021,1,1,-12.132859837252175,-30.93483925770057,0
0.01,971,2466968,2011,1,1,-18.128639297992006,-35.54223807410443,0
0.012,972,2468968,1983,0,1,-23.29077657128759,-39.835479622730944,0
0.014,973,2470968,1979,0,1,-25.816912498109183,-43.55057773447444,0
0.016001,974,2472969,1978,0,1,-24.923009047400768,-46.432989218962604,0
0.018,975,2474968,2005,0,1,-21.218746337612643,-48.25350479067336,0
0.02,976,2476968,2007,0,1,-16.492610816084778,-48.80963949692601,0
0.022,977,2478968,2029,0,1,-13.118700652749428,-47.91772326864144,0
0.024,978,2480968,2053,0,1,-13.3109525644123,-45.4028632247338,0
0.026,979,2482968,2035,0,1,-18.238248154126076,-41.09053725322143,0
0.028,980,2484968,2008,1,1,-27.404473720541812,-34.81073479157614,0
0.03,981,2486968,2013,1,1,-38.729593375627616,-26.42430155696689,0
0.032,982,2488968,1965,0,1,-49.01979067639382,-15.863691909560764,0
0.034,983,2490968,1948,0,1,-54.62166581097065,-3.179753857948235,0
0.036,984,2492968,1954,0,1,-52.379051983157375,11.409351854454744,0
0.038,985,2494968,1989,0,1,-40.35388808104469,27.484522970839862,0
0.04,986,2496968,2008,0,1,-17.73834284064999,44.42449629643744,0
0.042,987,2498968,2041,0,1,15.65569815277593,61.43313372576256,0
0.044,988,2500968,2059,0,1,59.583900776460524,77.58196214064002,0
0.046,989,2502968,2066,0,1,112.77724533194498,91.85876199874407,0
0.048,990,2504968,2079,1,1,171.3423610013785,103.21617019455793,0
0.05,991,2506968,2212,1,1,226.80381615196615,110.62935398791723,0
0.052,992,2508968,2455,0,1,266.3310657294978,113.20448788842263,0
0.054,993,2510968,2505,0,1,277.39325641234285,110.36675664995761,0
0.056001,994,2512969,2407,0,1,254.37648416614445,102.05804775929377,0
0.058,995,2514968,2246,0,1,201.61123524561842,88.81517910917833,0
0.06,996,2516968,2105,0,1,130.86836953117137,71.6816298617444,0
0.062,997,2518968,1994,0,1,56.14715495533159,52.015243867120724,0
0.064,998,2520968,1931,0,1,-10.91610034926208,31.27661214536239,0
0.066,999,2522968,1935,0,1,-63.397055216736675,10.853479006666682,0
0.068,1000,2524968,1919,1,1,-98.94446055864265,-8.053818789304152,0
0.07,1001,2526968,1935,1,1,-118.02585310355653,-24.490102373308602,0
0.072,1002,2528968,1885,0,1,-122.09860667473924,-37.77103424571878,0
0.074,1003,2530968,1886,0,1,-112.95836782740888,-47.50079547651364,0
0.076,1004,2532968,1927,0,1,-93.2398626464415,-53.58310090429572,0
0.078,1005,2534968,1965,0,1,-66.79969837019375,-56.203815582786,0
0.08,1006,2536968,2005,0,1,-38.22773693689294,-55.775489618023435,0
0.082,1007,2538968,2055,0,1,-11.900493135503616,-52.85930498478765,0
0.084,1008,2540968,2066,0,1,8.983899058197009,-48.08183085419497,0
0.086,1009,2542968,2066,0,1,23.0456188458433,-42.0617919012255,0
0.088,1010,2544968,2041,1,1,30.566099054689015,-35.36254580321588,0
0.09,1011,2546968,2066,1,1,32.62779568501942,-28.471756939888614,0
0.092,1012,2548968,2063,0,1,30.39706403726194,-21.792058796030354,0
0.094,1013,2550968,2057,0,1,25.06614242462243,-15.631283018720445,0
0.096001,1014,2552969,2042,0,1,18.018777100758193,-10.198901489906323,0
0.098,1015,2554968,2031,0,1,10.731031746353416,-5.615987388113862,0
0.1,1016,2556968,2023,0,1,4.472757247955553,-1.9346230182419681,0
0.102,1017,2558968,2025,0,1,0.06304397469110201,0.8412810553589178,0
0.104,1018,2560968,2031,0,1,-2.138062316894768,2.7401068831068613,0
0.106,1019,2562968,2021,0,1,-2.0263266759554543,3.813115385092246,0
0.108,1020,2564968,2009,1,1,0.32044446036892715,4.125988298183675,0
0.11,1021,2566968,2030,1,1,4.387566083735479,3.748020590127469,0
0.112,1022,2568968,2043,0,1,9.05515933675808,2.747197779468438,0
0.114,1023,2570968,2045,0,1,12.882343322771279,1.1975812227251579,0
0.116,1024,2572968,2057,0,1,14.56373355497335,-0.8082813670454483,0
0.118,1025,2574968,2053,0,1,13.266644264053177,-3.1500103146523255,0
0.12,1026,2576968,2041,0,1,8.824984487768326,-5.6757811837334495,0
0.122,1027,2578968,2037,0,1,1.7248691533628713,-8.207135862062222,0
0.124,1028,2580968,2029,0,1,-7.036656393258665,-10.550939466769883,0
0.126,1029,2582968,2024,0,1,-15.994776016626371,-12.513306424876173,0
0.128,1030,2584968,1989,1,1,-23.24608525665409,-13.915502822765179,0
0.13,1031,2586968,1961,1,1,-26.907888959968485,-14.618097326937246,0
0.132,1032,2588968,1999,0,1,-26.00914311030237,-14.550287077975744,0
0.134,1033,2590968,1995,0,1,-20.972110494063678,-13.724925749324749,0
0.136001,1034,2592969,2020,0,1,-13.283045545265933,-12.229855093549745,0
0.138,1035,2594968,2036,0,1,-4.868969618571334,-10.206355797582667,0
0.14,1036,2596968,2044,0,1,2.486264043182959,-7.823684373955679,0
0.142,1037,2598968,2058,0,1,7.647040732833275,-5.253664629458588,0
0.144,1038,2600968,2053,0,1,10.4657339436757,-2.6500270047883223,0
0.146,1039,2602968,2035,0,1,11.83559714118513,-0.13688358675261014,0
0.148,1040,2604968,1999,1,1,13.16018177725522,2.1874093501100553,0
0.15,1041,2606968,2031,1,1,15.270486267500178,4.23283556419082,0
0.152,1042,2608968,2056,0,1,17.724438337805193,5.907104067125498,0
0.154,1043,2610968,2065,0,1,19.25869055031096,7.128142135455388,0
0.156,1044,2612968,2063,0,1,18.817984245058206,7.8477914471719785,0
0.158,1045,2614968,2045,0,1,16.159098740085142,8.065202073007782,0
0.16,1046,2616968,2041,0,1,11.77960570024759,7.82352030075452,0
0.162,1047,2618968,2041,0,1,6.564406002357229,7.197343490349098,0
0.164,1048,2620968,2024,0,1,1.5605892577386604,6.279928274964954,0
0.166,1049,2622968,2021,0,1,-2.1590829768667392,5.170930190933748,0
0.168,1050,2624968,2003,1,1,-3.7750815823206727,3.961939621955188,0
0.17,1051,2626968,2020,1,1,-3.0934351230077577,2.7225552242621043,0
0.172,1052,2628968,2027,0,1,-0.7033867027225145,1.4943572451315026,0
0.174,1053,2630968,2039,0,1,2.279407522443926,0.2969862208761018,0
0.176001,1054,2632969,2042,0,1,4.693494785534643,-0.858386163711149,0
0.178,1055,2634968,2043,0,1,5.7219618376993315,-1.956193177945327,0
0.18,1056,2636968,2040,0,1,5.074448801505542,-2.9684809967523558,0
0.182,1057,2638968,2030,0,1,2.9651841152165677,-3.8531203344168046,0
0.184,1058,2640968,2029,0,1,-0.06821716297507807,-4.557915039654187,0
0.186,1059,2642968,2037,0,1,-3.32619257858968,-5.02685106939938,0
0.188,1060,2644968,2004,1,1,-5.985471784082653,-5.205660166556234,0
0.19,1061,2646968,2009,1,1,-7.304791789970364,-5.051274575060308,0
0.192,1062,2648968,2021,0,1,-7.0387280765596305,-4.5446290166250005,0
0.194,1063,2650968,2027,0,1,-5.526844328733541,-3.6951675806267756,0
0.196,1064,2652968,2027,0,1,-3.3552366252699004,-2.534583752990881,0
0.198,1065,2654968,2037,0,1,-1.0230392695746064,-1.1087138900654465,0
0.2,1066,2656968,2027,0,1,1.2081800340356437,0.5280647766287767,0
0.202,1067,2658968,2043,0,1,3.345043831675415,2.316405713438845,0
0.204,1068,2660968,2029,0,1,5.638093777654449,4.194397295724409,0
0.206,1069,2662968,2039,0,1,8.511511644321,6.098949483932513,0
0.208,1070,2664968,2007,1,1,12.302145549350545,7.9636680529670025,0
0.21,1071,2666968,2040,1,1,16.746692197059204,9.712624207319845,0
0.212,1072,2668968,2063,0,1,20.69881697352263,11.259917344282265,0
0.214,1073,2670968,2075,0,1,22.644455183528663,12.525702983055545,0
0.216001,1074,2672969,2065,0,1,21.644135585256233,13.459652883433186,0
0.218,1075,2674968,2055,0,1,17.851230129028764,14.052904429280698,0
0.22,1076,2676968,2044,0,1,12.406039649240086,14.333227097706036,0
0.222,1077,2678968,2028,0,1,7.02491017437022,14.35003324628979,0
0.224,1078,2680968,2019,0,1,3.5033167115752906,14.155454160727281,0
0.226,1079,2682968,2013,0,1,3.1987964654312036,13.78558241667746,0
0.228,1080,2684968,2002,1,1,6.526581773280781,13.245407842268015,0
0.23,1081,2686968,2031,1,1,12.537220170825048,12.500945017900662,0
0.232,1082,2688968,2075,0,1,18.991179498288485,11.487267579825883,0
0.234,1083,2690968,2083,0,1,23.330345137570784,10.138661477452187,0
0.236,1084,2692968,2075,0,1,23.984000078140667,8.426224168716784,0
0.238,1085,2694968,2053,0,1,20.972044293016694,6.378425657492897,0
0.24,1086,2696968,2029,0,1,15.515685440864296,4.076307404417634,0
0.242,1087,2698968,2031,0,1,9.152585254579693,1.6329080064208261,0
0.244,1088,2700968,2014,0,1,3.0024224507682202,-0.8286369320496583,0
0.246,1089,2702968,2026,0,1,-2.531509975894391,-3.1903406601046775,0
0.248,1090,2704968,2031,1,1,-7.643610789318714,-5.3464957114444935,0
0.25,1091,2706968,2042,1,1,-12.601594185488619,-7.202131041019008,0
0.252,1092,2708968,2009,0,1,-17.102766942580097,-8.668507930239128,0
0.254,1093,2710968,1996,0,1,-20.155223706920236,-9.668474997266383,0
0.256001,1094,2712969,1990,0,1,-20.67767896416258,-10.154838145580353,0
0.258,1095,2714968,1999,0,1,-18.227413881503654,-10.128554726710487,0
0.26,1096,2716968,2011,0,1,-13.28637487549192,-9.643895217179393,0
0.262,1097,2718968,2031,0,1,-7.051651690865514,-8.79888091393519,0
0.264,1098,2720968,2039,0,1,-0.9258751822553846,-7.7156950064698595,0
0.266,1099,2722968,2043,0,1,4.011149073026623,-6.518605455005936,0
0.268,1100,2724968,2023,1,1,7.2069928643306165,-5.318472142165879,0
0.27,1101,2726968,2055,1,1,8.451702872530316,-4.206978683008785,0
0.272,1102,2728968,2041,0,1,7.750699261353152,-3.2528474421315776,0
0.274,1103,2730968,2041,0,1,5.488648943303877,-2.4958949938047317,0
0.276,1104,2732968,2020,0,1,2.4698888355746007,-1.9470407083173833,0
0.278,1105,2734968,2020,0,1,-0.4135189349649213,-1.5984856167947559,0
0.28,1106,2736968,2023,0,1,-2.587070630726802,-1.4368479257971383,0
0.282,1107,2738968,2026,0,1,-3.9142294749164614,-1.4507036156210429,0
0.284,1108,2740968,2025,0,1,-4.5272809333096315,-1.6313759639830487,0
0.286,1109,2742968,2023,0,1,-4.635862853936926,-1.971829344036033,0
0.288,1110,2744968,2023,1,1,-4.473387010629311,-2.466876874633506,0
0.29,1111,2746968,2038,1,1,-4.271447457011936,-3.11279052047102,0
0.292,1112,2748968,2026,0,1,-4.100186232409984,-3.903474613709026,0
0.294,1113,2750968,2010,0,1,-3.7802358497038897,-4.827602408407286,0
0.296001,1114,2752969,2023,0,1,-3.161343366100393,-5.872654513523348,0
0.298,1115,2754968,2029,0,1,-2.4422988990763552,-7.029313660367803,0
0.3,1116,2756968,2023,0,1,-2.120851793319381,-8.28805170697616,0
0.302,1117,2758968,2042,0,1,-2.7435304184785103,-9.631649299805364,0
0.304,1118,2760968,2036,0,1,-4.610655527521434,-11.027567145101763,0
0.306,1119,2762968,2025,0,1,-7.471577303325919,-12.421801366238887,0
0.308,1120,2764968,2010,1,1,-10.51643184954888,-13.740751181212074,0
