time_s,sample_index,timestamp_us,ecg_raw,leads_off,adc_ok,ecg_morph,ecg_qrs,r_peak
0.0,34447,69418968,3,1,1,-152.4484941595949,-0.8556514804579334,0
0.002,34448,69420968,0,1,0,-153.8692865213128,-0.7234557131583081,0
0.004,34449,69422968,10,0,1,-155.3798205760438,-0.5673426038187479,0
0.006,34450,69424968,0,0,0,-157.02606414800388,-0.38566850744845815,0
0.008,34451,69426968,6,0,1,-158.7836085256751,-0.1757803160173661,0
0.01,34452,69428968,1,0,1,-160.57457494186195,0.06518307198216355,0
0.012,34453,69430968,3,0,1,-162.31303868049528,0.3387711939813246,0
0.014,34454,69432968,3,0,1,-163.93273533050777,0.6440295051162335,0
0.016,34455,69434968,2,0,1,-165.3973280300651,0.9767830841692253,0
0.018,34456,69436968,4,1,1,-166.70123208318284,1.3293620790992178,0
0.02,34457,69438968,4,1,1,-167.8674564423891,1.6907146039887642,0
0.022,34458,69440968,2,1,1,-168.94703524769855,2.046837274637939,0
0.024001,34459,69442969,13,0,1,-170.0103487088245,2.3816818045513344,0
0.026,34460,69444968,3,0,1,-171.08630508754948,2.6793123354427086,0
0.028,34461,69446968,2,0,1,-172.13377845246035,2.92553896233255,0
0.03,34462,69448968,3,0,1,-173.172019163277,3.106487912786681,0
0.032,34463,69450968,17,0,1,-174.39429469557768,3.207588286661861,0
0.034,34464,69452968,11,0,1,-176.03242446225264,3.2174662914060512,0
0.036,34465,69454968,7,0,1,-178.1381760068402,3.1331829021381283,0
0.038,34466,69456968,5,1,1,-180.57606622800694,2.9606822664174555,0
0.04,34467,69458968,5,1,1,-183.17931645265884,2.7113083375669835,0
0.042,34468,69460968,7,1,1,-185.84486825386983,2.3989879090502653,0
0.044,34469,69462968,5,0,1,-188.50837761770393,2.039508192153712,0
0.046,34470,69464968,2,0,1,-191.09335261882003,1.6502231177070015,0
0.048,34471,69466968,1,0,1,-193.5272349947499,1.2484908032463857,0
0.05,34472,69468968,3,0,1,-195.79997366504455,0.8494573886361818,0
0.052,34473,69470968,3,0,1,-197.97272793335904,0.465121936622807,0
0.054,34474,69472968,5,0,1,-200.116429365876,0.1051044042482534,0
0.056,34475,69474968,0,0,0,-202.24469709195856,-0.22223809455647547,0
0.058,34476,69476968,1,1,1,-204.3134302842028,-0.509877121492234,0
0.06,34477,69478968,0,1,0,-206.28209373882365,-0.7532956905817723,0
0.062,34478,69480968,0,1,0,-208.1669797893174,-0.9513709019879681,0
0.064001,34479,69482969,5,0,1,-210.04150309004768,-1.1060311846138968,0
0.066,34480,69484968,2,0,1,-211.97422937128158,-1.220550976480024,0
0.068,34481,69486968,0,0,0,-213.96424427601184,-1.2977821656156094,0
0.07,34482,69488968,0,0,0,-215.96265687820943,-1.3401814021385405,0
0.072,34483,69490968,0,0,0,-217.94646027759723,-1.3509842606189173,0
