time_s,sample_index,timestamp_us,slot0_raw,slot1_raw,finger_contact,fifo_ok,fifo_overflow_count,slot0_dc,slot0_ac,slot1_dc,slot1_ac,slot0_peak,slot1_peak
0.0,1726,69598374,35077,52061,-1,1,0,35240.66845834693,31.897012216325265,51771.98904277744,10.5412444733538,0,0
0.04,1727,69638374,34861,51448,-1,1,0,35096.61337127073,-75.3466593334997,51255.68375106858,-62.31526910197135,0,0
0.08,1728,69678374,34709,51072,-1,1,0,34958.644012176046,-122.52874470668564,50747.4622905892,70.14364583717474,0,0
0.12,1729,69718374,34596,50769,-1,1,0,34827.87232269877,-140.88194066428503,50250.88939851445,268.31617777150905,0,0
0.16,1730,69758374,34431,50364,-1,1,0,34705.35061561075,-200.01293487923004,49769.618684805224,369.6958671935306,0,0
0.2,1731,69798374,34248,49961,-1,1,0,34592.067484472056,-308.5365738262825,49307.42330827055,452.9689337709283,0,1
0.24,1732,69838374,34036,49394,-1,1,0,34488.938629323806,-413.74909329687364,48868.21905714378,347.857700480806,0,0
0.28,1733,69878374,33679,48255,-1,1,0,34396.78694644881,-677.3667542027517,48456.05832960934,-476.37979093870604,0,0
0.32,1734,69918374,33119,46503,-1,1,0,34316.30314767317,-1320.1191422172362,48075.05599263509,-1714.7801539768648,0,0
0.36,1735,69958374,32392,44662,-1,1,0,34247.97257573953,-1721.2698986025543,47729.20462489956,-2980.769634266074,0,0
0.4,1736,69998374,33419,42691,-1,1,0,34191.98751086161,-921.8205040681713,47422.07830779702,-5444.960989034145,0,0
0.44,1737,70038374,34281,38504,-1,1,0,34148.23311303821,323.0519869334413,47156.42904573303,-8252.760435669072,1,0
0.48,1738,70078374,34695,39327,-1,1,0,34116.404187211265,133.11530346396432,46933.68579661235,-7877.424364367779,0,0
0.52,1739,70118374,32660,42324,-1,1,0,34096.14425637142,-1008.9626362090484,46753.57345225298,-4562.707821600559,0,0
0.56,1740,70158374,33322,44993,-1,1,0,34087.045453681196,-1053.9463925676066,46614.18243505354,-1639.452714750923,0,0
0.6,1741,70198374,33803,46475,-1,1,0,34088.550826304614,-273.65195684024695,46512.47228522487,42.10763942708127,0,0
