sample_index,timestamp_us,ecg_raw,leads_off,adc_ok
964,2452968,1976,0,1
965,2454968,2005,0,1
966,2456968,2019,0,1
967,2458968,2029,0,1
968,2460968,2028,0,1
969,2462968,1975,1,1
970,2464968,1952,0,1
971,2466968,1917,0,1
972,2468968,1929,0,1
973,2470968,1948,0,1
974,2472969,1977,0,1
975,2474968,2005,0,1
976,2476968,2020,0,1
977,2478968,2021,0,1
978,2480968,2029,0,1
979,2482968,1999,1,1
980,2484968,1961,0,1
981,2486968,1943,0,1
982,2488968,1949,0,1
983,2490968,1963,0,1
984,2492968,1983,0,1
985,2494968,2004,0,1
986,2496968,2013,0,1
987,2498968,2024,0,1
988,2500968,2013,0,1
989,2502968,1979,1,1
990,2504968,1964,0,1
991,2506968,1961,0,1
992,2508968,1971,0,1
993,2510968,1976,0,1
994,2512969,1995,0,1
995,2514968,2008,0,1
996,2516968,2015,0,1
997,2518968,2018,0,1
998,2520968,2023,0,1
999,2522968,1994,1,1
1000,2524968,1959,0,1
1001,2526968,1946,0,1
1002,2528968,1958,0,1
1003,2530968,1965,0,1
1004,2532968,1993,0,1
1005,2534968,1998,0,1
1006,2536968,2019,0,1
1007,2538968,2014,0,1
1008,2540968,2015,0,1
1009,2542968,1997,1,1
1010,2544968,1965,0,1
1011,2546968,1929,0,1
1012,2548968,1927,0,1
1013,2550968,1963,0,1
1014,2552969,1989,0,1
1015,2554968,1999,0,1
1016,2556968,2022,0,1
1017,2558968,2025,0,1
1018,2560968,2023,0,1
1019,2562968,1978,1,1
1020,2564968,1947,0,1
1021,2566968,1933,0,1
1022,2568968,1949,0,1
1023,2570968,1967,0,1
1024,2572968,1992,0,1
1025,2574968,2009,0,1
1026,2576968,2023,0,1
1027,2578968,2013,0,1
1028,2580968,2026,0,1
1029,2582968,1973,1,1
1030,2584968,1938,0,1
1031,2586968,1919,0,1
1032,2588968,1928,0,1
1033,2590968,1951,0,1
1034,2592969,1981,0,1
1035,2594968,2009,0,1
1036,2596968,2025,0,1
1037,2598968,2026,0,1
1038,2600968,2031,0,1
1039,2602968,2001,1,1
1040,2604968,1981,0,1
1041,2606968,1973,0,1
1042,2608968,1973,0,1
1043,2610968,1979,0,1
1044,2612968,2005,0,1
1045,2614968,2008,0,1
1046,2616968,2009,0,1
1047,2618968,2013,0,1
1048,2620968,2005,0,1
1049,2622968,1977,1,1
1050,2624968,1951,0,1
1051,2626968,1939,0,1
1052,2628968,1942,0,1
1053,2630968,1973,0,1
1054,2632969,1991,0,1
1055,2634968,2004,0,1
1056,2636968,2019,0,1
1057,2638968,2021,0,1
1058,2640968,2025,0,1
1059,2642968,1975,1,1
1060,2644968,1945,0,1
1061,2646968,1939,0,1
1062,2648968,1945,0,1
1063,2650968,1979,0,1
1064,2652968,1984,0,1
1065,2654968,2011,0,1
1066,2656968,2013,0,1
1067,2658968,2024,0,1
1068,2660968,2015,1,1
1069,2662968,1971,1,1
1070,2664968,1948,0,1
1071,2666968,1946,0,1
1072,2668968,1959,0,1
1073,2670968,1973,0,1
1074,2672969,1987,0,1
1075,2674968,2007,0,1
1076,2676968,2011,0,1
1077,2678968,2015,0,1
1078,2680968,2008,1,1
1079,2682968,1979,1,1
1080,2684968,1957,0,1
1081,2686968,1949,0,1
1082,2688968,1965,0,1
1083,2690968,1967,0,1
1084,2692968,1991,0,1
1085,2694968,2007,0,1
1086,2696968,2018,0,1
1087,2698968,2035,0,1
1088,2700968,2023,1,1
1089,2702968,1967,1,1
1090,2704968,1941,0,1
1091,2706968,1925,0,1
1092,2708968,1956,0,1
1093,2710968,1963,0,1
1094,2712969,1997,0,1
1095,2714968,2007,0,1
1096,2716968,2023,0,1
1097,2718968,2036,0,1
1098,2720968,2023,1,1
1099,2722968,1976,1,1
1100,2724968,1931,0,1
1101,2726968,1933,0,1
1102,2728968,1949,0,1
1103,2730968,1959,0,1
1104,2732968,1987,0,1
1105,2734968,2007,0,1
1106,2736968,2023,0,1
1107,2738968,2031,0,1
1108,2740968,2019,1,1
1109,2742968,1965,1,1
1110,2744968,1951,0,1
1111,2746968,1947,0,1
1112,2748968,1967,0,1
1113,2750968,1972,0,1
1114,2752969,1993,0,1
1115,2754968,2009,0,1
1116,2756968,2019,0,1
1117,2758968,2029,0,1
1118,2760968,2023,1,1
1119,2762968,1975,1,1
1120,2764968,1933,0,1
1121,2766968,1927,0,1
1122,2768968,1957,0,1
1123,2770968,1965,0,1
1124,2772968,1991,0,1
1125,2774968,2015,0,1
1126,2776968,2029,0,1
1127,2778968,2039,0,1
1128,2780968,2020,1,1
1129,2782968,1967,1,1
1130,2784968,1929,0,1
1131,2786968,1927,0,1
1132,2788968,1949,0,1
1133,2790968,1976,0,1
1134,2792969,1995,0,1
1135,2794968,2013,0,1
1136,2796968,2035,0,1
1137,2798968,2032,0,1
1138,2800968,2019,1,1
1139,2802968,1975,1,1
1140,2804968,1948,0,1
1141,2806968,1949,0,1
1142,2808968,1964,0,1
1143,2810968,1977,0,1
1144,2812968,1993,0,1
1145,2814968,2007,0,1
1146,2816968,2021,0,1
1147,2818968,2037,0,1
1148,2820968,2020,1,1
1149,2822968,1995,1,1
1150,2824968,1973,0,1
1151,2826968,1972,0,1
1152,2828968,1998,0,1
1153,2830968,1981,0,1
1154,2832969,1999,0,1
1155,2834968,2007,0,1
1156,2836968,2013,0,1
1157,2838968,2025,0,1
1158,2840968,2012,1,1
1159,2842968,1989,1,1
1160,2844968,1967,0,1
1161,2846968,1961,0,1
1162,2848968,1989,0,1
1163,2850968,1989,0,1
1164,2852968,1995,0,1
1165,2854968,2005,0,1
1166,2856968,2021,0,1
1167,2858968,2026,0,1
1168,2860968,2019,1,1
1169,2862968,1961,1,1
1170,2864968,1949,0,1
1171,2866968,1941,0,1
1172,2868968,1967,0,1
1173,2870968,1975,0,1
1174,2872969,2006,0,1
1175,2874968,2014,0,1
1176,2876968,2025,0,1
1177,2878968,2037,0,1
