sample_index,timestamp_us,slot0_raw,slot1_raw,finger_contact,fifo_ok,fifo_overflow_count
1726,69598374,35077,52061,-1,1,0
1727,69638374,34861,51448,-1,1,0
1728,69678374,34709,51072,-1,1,0
1729,69718374,34596,50769,-1,1,0
1730,69758374,34431,50364,-1,1,0
1731,69798374,34248,49961,-1,1,0
1732,69838374,34036,49394,-1,1,0
1733,69878374,33679,48255,-1,1,0
1734,69918374,33119,46503,-1,1,0
1735,69958374,32392,44662,-1,1,0
1736,69998374,33419,42691,-1,1,0
1737,70038374,34281,38504,-1,1,0
1738,70078374,34695,39327,-1,1,0
1739,70118374,32660,42324,-1,1,0
1740,70158374,33322,44993,-1,1,0
1741,70198374,33803,46475,-1,1,0
1742,70238374,34189,47700,-1,1,0
1743,70278374,34361,48275,-1,1,0
1744,70318374,34510,48761,-1,1,0
1745,70358374,34659,49204,-1,1,0
1746,70398374,34775,49527,-1,1,0
1747,70438374,34919,49917,-1,1,0
1748,70478374,34996,50044,-1,1,0
1749,70518374,34918,49637,-1,1,0
1750,70558374,34708,48874,-1,1,0
1751,70598374,34418,47917,-1,1,0
1752,70638374,33355,45543,-1,1,0
1753,70678374,34262,41017,-1,1,0
1754,70718374,34409,38983,-1,1,0
1755,70758374,33024,38314,-1,1,0
1756,70798374,32360,40972,-1,1,0
1757,70838374,34646,47526,-1,1,0
1758,70878374,35748,50533,-1,1,0
1759,70918374,36067,51448,-1,1,0
1760,70958374,36177,51744,-1,1,0
1761,70998374,36266,52007,-1,1,0
1762,71038374,36345,52243,-1,1,0
1763,71078374,36393,52466,-1,1,0
1764,71118374,36455,52709,-1,1,0
1765,71158374,36466,52814,-1,1,0
1766,71198374,36443,52771,-1,1,0
1767,71238374,36411,52721,-1,1,0
1768,71278374,36402,52762,-1,1,0
1769,71318374,36418,52802,-1,1,0
1770,71358374,36425,52873,-1,1,0
1771,71398374,36436,52930,-1,1,0
1772,71438374,36450,52974,-1,1,0
1773,71478374,36429,52970,-1,1,0
1774,71518374,36414,52955,-1,1,0
1775,71558374,36381,52912,-1,1,0
1776,71598374,36324,52733,-1,1,0
1777,71638374,36228,52400,-1,1,0
1778,71678374,36185,52229,-1,1,0
1779,71718374,36180,52230,-1,1,0
1780,71758374,36186,52235,-1,1,0
1781,71798374,36192,52290,-1,1,0
1782,71838374,36214,52385,-1,1,0
1783,71878374,36172,52306,-1,1,0
1784,71918374,36114,52172,-1,1,0
1785,71958374,36128,52213,-1,1,0
1786,71998374,36177,52381,-1,1,0
1787,72038374,36225,52539,-1,1,0
1788,72078374,36269,52693,-1,1,0
1789,72118374,36292,52778,-1,1,0
1790,72158374,36301,52835,-1,1,0
1791,72198374,36326,52952,-1,1,0
1792,72238374,36387,53122,-1,1,0
1793,72278374,36425,53238,-1,1,0
1794,72318374,36397,53144,-1,1,0
1795,72358374,36297,52828,-1,1,0
1796,72398374,36221,52634,-1,1,0
1797,72438374,36204,52581,-1,1,0
1798,72478374,36221,52655,-1,1,0
1799,72518374,36310,52888,-1,1,0
1800,72558374,36356,53037,-1,1,0
1801,72598374,36373,53111,-1,1,0
1802,72638374,36372,53124,-1,1,0
1803,72678374,36384,53171,-1,1,0
1804,72718374,36408,53286,-1,1,0
1805,72758374,36443,53380,-1,1,0
1806,72798374,36467,53479,-1,1,0
1807,72838374,36490,53566,-1,1,0
1808,72878374,36505,53617,-1,1,0
1809,72918374,36516,53661,-1,1,0
1810,72958374,36529,53716,-1,1,0
1811,72998374,36514,53650,-1,1,0
1812,73038374,36439,53405,-1,1,0
1813,73078374,36394,53288,-1,1,0
1814,73118374,36413,53328,-1,1,0
1815,73158374,36431,53390,-1,1,0
1816,73198374,36463,53514,-1,1,0
1817,73238374,36484,53603,-1,1,0
1818,73278374,36490,53638,-1,1,0
1819,73318374,36501,53655,-1,1,0
1820,73358374,36490,53678,-1,1,0
1821,73398374,36494,53724,-1,1,0
1822,73438374,36497,53722,-1,1,0
1823,73478374,36486,53722,-1,1,0
1824,73518374,36481,53728,-1,1,0
1825,73558374,36474,53742,-1,1,0
1826,73598374,36479,53768,-1,1,0
1827,73638374,36474,53769,-1,1,0
1828,73678374,36437,53626,-1,1,0
1829,73718374,36380,53410,-1,1,0
1830,73758374,36348,53340,-1,1,0
1831,73798374,36338,53337,-1,1,0
1832,73838374,36342,53352,-1,1,0
1833,73878374,36336,53395,-1,1,0
1834,73918374,36343,53405,-1,1,0
1835,73958374,36340,53433,-1,1,0
1836,73998374,36349,53450,-1,1,0
1837,74038374,36353,53504,-1,1,0
1838,74078374,36364,53550,-1,1,0
1839,74118374,36361,53575,-1,1,0
1840,74158374,36370,53618,-1,1,0
1841,74198374,36398,53685,-1,1,0
1842,74238374,36393,53716,-1,1,0
1843,74278374,36405,53733,-1,1,0
1844,74318374,36367,53630,-1,1,0
1845,74358374,36281,53356,-1,1,0
1846,74398374,36236,53211,-1,1,0
1847,74438374,36229,53205,-1,1,0
1848,74478374,36233,53213,-1,1,0
1849,74518374,36259,53293,-1,1,0
1850,74558374,36276,53363,-1,1,0
1851,74598374,36276,53384,-1,1,0
1852,74638374,36291,53393,-1,1,0
1853,74678374,36293,53436,-1,1,0
1854,74718374,36305,53508,-1,1,0
1855,74758374,36335,53577,-1,1,0
1856,74798374,36345,53599,-1,1,0
1857,74838374,36330,53622,-1,1,0
1858,74878374,36333,53637,-1,1,0
1859,74918374,36334,53674,-1,1,0
1860,74958374,36318,53646,-1,1,0
1861,74998374,36231,53371,-1,1,0
1862,75038374,36141,53089,-1,1,0
1863,75078374,36132,53059,-1,1,0
1864,75118374,36154,53104,-1,1,0
1865,75158374,36169,53177,-1,1,0
1866,75198374,36204,53291,-1,1,0
1867,75238374,36215,53331,-1,1,0
1868,75278374,36205,53324,-1,1,0
